B01001    SEX BY AGE
B07411PR  MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO
B07412    GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY POVERTY STATUS IN THE PAST 12 MONTHS FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES
B07412PR  GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY POVERTY STATUS IN THE PAST 12 MONTHS FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO
B07413    GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY TENURE FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES
B07413PR  GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY TENURE FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO
B08006    SEX OF WORKERS BY MEANS OF TRANSPORTATION TO WORK
B08007    SEX OF WORKERS BY PLACE OF WORK--STATE AND COUNTY LEVEL
B08008    SEX OF WORKERS BY PLACE OF WORK--PLACE LEVEL
B08009    SEX OF WORKERS BY PLACE OF WORK--MINOR CIVIL DIVISION LEVEL FOR 12 SELECTED STATES (CT, ME, MA, MI, MN, NH, NJ, NY, PA, RI, VT, WI)
B08011    SEX OF WORKERS BY TIME LEAVING HOME TO GO TO WORK
C08006    SEX OF WORKERS BY MEANS OF TRANSPORTATION TO WORK
C08007    SEX OF WORKERS BY PLACE OF WORK--STATE AND COUNTY LEVEL
C08011    SEX OF WORKERS BY TIME LEAVING HOME TO GO TO WORK
B08012    SEX OF WORKERS BY TRAVEL TIME TO WORK
B08013    AGGREGATE TRAVEL TIME TO WORK (IN MINUTES) OF WORKERS BY SEX
B08014    SEX OF WORKERS BY VEHICLES AVAILABLE
B08015    AGGREGATE NUMBER OF VEHICLES (CAR, TRUCK, OR VAN) USED IN COMMUTING BY WORKERS 16 YEARS AND OVER BY SEX
B08016    PLACE OF WORK FOR WORKERS 16 YEARS AND OVER--METROPOLITAN STATISTICAL AREA LEVEL
B08017    PLACE OF WORK FOR WORKERS 16 YEARS AND OVER--MICROPOLITAN STATISTICAL AREA LEVEL
B08018    PLACE OF WORK FOR WORKERS 16 YEARS AND OVER--NOT METROPOLITAN OR MICROPOLITAN STATISTICAL AREA LEVEL
B08101    MEANS OF TRANSPORTATION TO WORK BY AGE
C08012    SEX OF WORKERS BY TRAVEL TIME TO WORK
C08014    SEX OF WORKERS BY VEHICLES AVAILABLE
C08016    PLACE OF WORK FOR WORKERS 16 YEARS AND OVER--METROPOLITAN STATISTICAL AREA LEVEL
C08017    PLACE OF WORK FOR WORKERS 16 YEARS AND OVER--MICROPOLITAN STATISTICAL AREA LEVEL
C08018    PLACE OF WORK FOR WORKERS 16 YEARS AND OVER--NOT METROPOLITAN OR MICROPOLITAN STATISTICAL AREA LEVEL
B08103    MEDIAN AGE BY MEANS OF TRANSPORTATION TO WORK
B08105A   MEANS OF TRANSPORTATION TO WORK (WHITE ALONE)
B08105B   MEANS OF TRANSPORTATION TO WORK (BLACK OR AFRICAN AMERICAN ALONE)
B08105C   MEANS OF TRANSPORTATION TO WORK (AMERICAN INDIAN AND ALASKA NATIVE ALONE)
B08105D   MEANS OF TRANSPORTATION TO WORK (ASIAN ALONE)
B08105E   MEANS OF TRANSPORTATION TO WORK (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE)
B08105F   MEANS OF TRANSPORTATION TO WORK (SOME OTHER RACE ALONE)
B08105G   MEANS OF TRANSPORTATION TO WORK (TWO OR MORE RACES)
B08105H   MEANS OF TRANSPORTATION TO WORK (WHITE ALONE, NOT HISPANIC OR LATINO)
B08105I   MEANS OF TRANSPORTATION TO WORK (HISPANIC OR LATINO)
B08111    MEANS OF TRANSPORTATION TO WORK BY CITIZENSHIP STATUS
C08101    MEANS OF TRANSPORTATION TO WORK BY AGE
C08105A   MEANS OF TRANSPORTATION TO WORK (WHITE ALONE)
C08105B   MEANS OF TRANSPORTATION TO WORK (BLACK OR AFRICAN AMERICAN ALONE)
C08105C   MEANS OF TRANSPORTATION TO WORK (AMERICAN INDIAN AND ALASKA NATIVE ALONE)
C08105D   MEANS OF TRANSPORTATION TO WORK (ASIAN ALONE)
C08105E   MEANS OF TRANSPORTATION TO WORK (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE)
C08105F   MEANS OF TRANSPORTATION TO WORK (SOME OTHER RACE ALONE)
C08105G   MEANS OF TRANSPORTATION TO WORK (TWO OR MORE RACES)
C08105H   MEANS OF TRANSPORTATION TO WORK (WHITE ALONE, NOT HISPANIC OR LATINO)
C08105I   MEANS OF TRANSPORTATION TO WORK (HISPANIC OR LATINO)
C08111    MEANS OF TRANSPORTATION TO WORK BY CITIZENSHIP STATUS
B08113    MEANS OF TRANSPORTATION TO WORK BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH
B08119    MEANS OF TRANSPORTATION TO WORK BY WORKERS' EARNINGS IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS)
B08121    MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS) BY MEANS OF TRANSPORTATION TO WORK
B08122    MEANS OF TRANSPORTATION TO WORK BY POVERTY STATUS IN THE PAST 12 MONTHS
C08113    MEANS OF TRANSPORTATION TO WORK BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH
C08119    MEANS OF TRANSPORTATION TO WORK BY WORKERS' EARNINGS IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS)
B08124    MEANS OF TRANSPORTATION TO WORK BY OCCUPATION
B08126    MEANS OF TRANSPORTATION TO WORK BY INDUSTRY
C08122    MEANS OF TRANSPORTATION TO WORK BY POVERTY STATUS IN THE PAST 12 MONTHS
C08124    MEANS OF TRANSPORTATION TO WORK BY OCCUPATION
B08128    MEANS OF TRANSPORTATION TO WORK BY CLASS OF WORKER
B08130    MEANS OF TRANSPORTATION TO WORK BY PLACE OF WORK--STATE AND COUNTY LEVEL
C08126    MEANS OF TRANSPORTATION TO WORK BY INDUSTRY
C08128    MEANS OF TRANSPORTATION TO WORK BY CLASS OF WORKER
C08130    MEANS OF TRANSPORTATION TO WORK BY PLACE OF WORK--STATE AND COUNTY LEVEL
B08131    AGGREGATE TRAVEL TIME TO WORK (IN MINUTES) OF WORKERS BY PLACE OF WORK--STATE AND COUNTY LEVEL
B08132    MEANS OF TRANSPORTATION TO WORK BY TIME LEAVING HOME TO GO TO WORK
B08133    AGGREGATE TRAVEL TIME TO WORK (IN MINUTES) OF WORKERS BY TIME LEAVING HOME TO GO TO WORK
C08132    MEANS OF TRANSPORTATION TO WORK BY TIME LEAVING HOME TO GO TO WORK
C08133    AGGREGATE TRAVEL TIME TO WORK (IN MINUTES) OF WORKERS BY TIME LEAVING HOME TO GO TO WORK
B08134    MEANS OF TRANSPORTATION TO WORK BY TRAVEL TIME TO WORK
B08135    AGGREGATE TRAVEL TIME TO WORK (IN MINUTES) OF WORKERS BY TRAVEL TIME TO WORK
B08136    AGGREGATE TRAVEL TIME TO WORK (IN MINUTES) OF WORKERS BY MEANS OF TRANSPORTATION TO WORK
B08137    MEANS OF TRANSPORTATION TO WORK BY TENURE
C08134    MEANS OF TRANSPORTATION TO WORK BY TRAVEL TIME TO WORK
C08136    AGGREGATE TRAVEL TIME TO WORK (IN MINUTES) OF WORKERS BY MEANS OF TRANSPORTATION TO WORK
C08137    MEANS OF TRANSPORTATION TO WORK BY TENURE
B08141    MEANS OF TRANSPORTATION TO WORK BY VEHICLES AVAILABLE
B08201    HOUSEHOLD SIZE BY VEHICLES AVAILABLE
B08202    HOUSEHOLD SIZE BY NUMBER OF WORKERS IN HOUSEHOLD
B08203    NUMBER OF WORKERS IN HOUSEHOLD BY VEHICLES AVAILABLE
B08301    MEANS OF TRANSPORTATION TO WORK
C08141    MEANS OF TRANSPORTATION TO WORK BY VEHICLES AVAILABLE
C08201    HOUSEHOLD SIZE BY VEHICLES AVAILABLE
C08202    HOUSEHOLD SIZE BY NUMBER OF WORKERS IN HOUSEHOLD
C08203    NUMBER OF WORKERS IN HOUSEHOLD BY VEHICLES AVAILABLE
C08301    MEANS OF TRANSPORTATION TO WORK
B08302    TIME LEAVING HOME TO GO TO WORK
B08303    TRAVEL TIME TO WORK
C08302    TIME LEAVING HOME TO GO TO WORK
C08303    TRAVEL TIME TO WORK
B08406    SEX OF WORKERS BY MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY
B08412    SEX OF WORKERS BY TRAVEL TIME TO WORK FOR WORKPLACE GEOGRAPHY
B08501    MEANS OF TRANSPORTATION TO WORK BY AGE FOR WORKPLACE GEOGRAPHY
C08406    SEX OF WORKERS BY MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY
C08412    SEX OF WORKERS BY TRAVEL TIME TO WORK FOR WORKPLACE GEOGRAPHY
B08503    MEDIAN AGE BY MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY
B08505A   MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY (WHITE ALONE)
B08505B   MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY (BLACK OR AFRICAN AMERICAN ALONE)
B08505C   MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY (AMERICAN INDIAN AND ALASKA NATIVE ALONE)
B08505D   MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY (ASIAN ALONE)
B08505E   MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE)
B08505F   MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY (SOME OTHER RACE ALONE)
B08505G   MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY (TWO OR MORE RACES)
B08505H   MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY (WHITE ALONE, NOT HISPANIC OR LATINO)
B08505I   MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY (HISPANIC OR LATINO)
B08511    MEANS OF TRANSPORTATION TO WORK BY CITIZENSHIP STATUS FOR WORKPLACE GEOGRAPHY
C08501    MEANS OF TRANSPORTATION TO WORK BY AGE FOR WORKPLACE GEOGRAPHY
C08505A   MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY (WHITE ALONE)
C08505B   MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY (BLACK OR AFRICAN AMERICAN ALONE)
C08505C   MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY (AMERICAN INDIAN AND ALASKA NATIVE ALONE)
C08505D   MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY (ASIAN ALONE)
C08505E   MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE)
C08505F   MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY (SOME OTHER RACE ALONE)
C08505G   MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY (TWO OR MORE RACES)
C08505H   MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY (WHITE ALONE, NOT HISPANIC OR LATINO)
C08505I   MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY (HISPANIC OR LATINO)
C08511    MEANS OF TRANSPORTATION TO WORK BY CITIZENSHIP STATUS FOR WORKPLACE GEOGRAPHY
B08513    MEANS OF TRANSPORTATION TO WORK BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH FOR WORKPLACE GEOGRAPHY
B08519    MEANS OF TRANSPORTATION TO WORK BY WORKERS' EARNINGS IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS) FOR WORKPLACE GEOGRAPHY
B08521    MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS) BY MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY
B08522    MEANS OF TRANSPORTATION TO WORK BY POVERTY STATUS IN THE PAST 12 MONTHS FOR WORKPLACE GEOGRAPHY
C08513    MEANS OF TRANSPORTATION TO WORK BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH FOR WORKPLACE GEOGRAPHY
C08519    MEANS OF TRANSPORTATION TO WORK BY WORKERS' EARNINGS IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS) FOR WORKPLACE GEOGRAPHY
B08524    MEANS OF TRANSPORTATION TO WORK BY OCCUPATION FOR WORKPLACE GEOGRAPHY
B08526    MEANS OF TRANSPORTATION TO WORK BY INDUSTRY FOR WORKPLACE GEOGRAPHY
C08522    MEANS OF TRANSPORTATION TO WORK BY POVERTY STATUS IN THE PAST 12 MONTHS FOR WORKPLACE GEOGRAPHY
C08524    MEANS OF TRANSPORTATION TO WORK BY OCCUPATION FOR WORKPLACE GEOGRAPHY
B08528    MEANS OF TRANSPORTATION TO WORK BY CLASS OF WORKER FOR WORKPLACE GEOGRAPHY
C08526    MEANS OF TRANSPORTATION TO WORK BY INDUSTRY FOR WORKPLACE GEOGRAPHY
C08528    MEANS OF TRANSPORTATION TO WORK BY CLASS OF WORKER FOR WORKPLACE GEOGRAPHY
B08532    MEANS OF TRANSPORTATION TO WORK BY TIME ARRIVING AT WORK FROM HOME FOR WORKPLACE GEOGRAPHY
C08532    MEANS OF TRANSPORTATION TO WORK BY TIME ARRIVING AT WORK FROM HOME FOR WORKPLACE GEOGRAPHY
B08534    MEANS OF TRANSPORTATION TO WORK BY TRAVEL TIME TO WORK FOR WORKPLACE GEOGRAPHY
B08536    AGGREGATE TRAVEL TIME TO WORK (IN MINUTES) OF WORKERS BY MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY
B08537    MEANS OF TRANSPORTATION TO WORK BY TENURE FOR WORKPLACE GEOGRAPHY
C08534    MEANS OF TRANSPORTATION TO WORK BY TRAVEL TIME TO WORK FOR WORKPLACE GEOGRAPHY
C08536    AGGREGATE TRAVEL TIME TO WORK (IN MINUTES) OF WORKERS BY MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY
C08537    MEANS OF TRANSPORTATION TO WORK BY TENURE FOR WORKPLACE GEOGRAPHY
B08541    MEANS OF TRANSPORTATION TO WORK BY VEHICLES AVAILABLE FOR WORKPLACE GEOGRAPHY
B08601    MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY
B08602    TIME ARRIVING AT WORK FROM HOME FOR WORKPLACE GEOGRAPHY
B08603    TRAVEL TIME TO WORK FOR WORKPLACE GEOGRAPHY
C08541    MEANS OF TRANSPORTATION TO WORK BY VEHICLES AVAILABLE FOR WORKPLACE GEOGRAPHY
C08601    MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY
C08602    TIME ARRIVING AT WORK FROM HOME FOR WORKPLACE GEOGRAPHY
C08603    TRAVEL TIME TO WORK FOR WORKPLACE GEOGRAPHY
B09001    POPULATION UNDER 18 YEARS BY AGE
B09002    OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE AND AGE
B09005    HOUSEHOLD TYPE FOR CHILDREN UNDER 18 YEARS IN HOUSEHOLDS (EXCLUDING HOUSEHOLDERS, SPOUSES, AND UNMARRIED PARTNERS)
B09008    PRESENCE OF UNMARRIED PARTNER OF HOUSEHOLDER BY HOUSEHOLD TYPE FOR CHILDREN UNDER 18 YEARS IN HOUSEHOLDS
B09010    RECEIPT OF SUPPLEMENTAL SECURITY INCOME (SSI), CASH PUBLIC ASSISTANCE INCOME, OR FOOD STAMPS/SNAP IN THE PAST 12 MONTHS BY HOUSEHOLD TYPE FOR CHILDREN UNDER 18 YEARS IN HOUSEHOLDS
B09018    RELATIONSHIP TO HOUSEHOLDER FOR CHILDREN UNDER 18 YEARS IN HOUSEHOLDS
B09019    HOUSEHOLD TYPE (INCLUDING LIVING ALONE) BY RELATIONSHIP
B09020    RELATIONSHIP BY HOUSEHOLD TYPE (INCLUDING LIVING ALONE) FOR THE POPULATION 65 YEARS AND OVER
C09008    PRESENCE OF UNMARRIED PARTNER OF HOUSEHOLDER FOR CHILDREN UNDER 18 YEARS IN HOUSEHOLDS
C09019    HOUSEHOLD TYPE (INCLUDING LIVING ALONE) BY RELATIONSHIP
B10001    GRANDCHILDREN UNDER 18 YEARS LIVING WITH A GRANDPARENT HOUSEHOLDER BY AGE OF GRANDCHILD
B10002    GRANDCHILDREN UNDER 18 YEARS LIVING WITH A GRANDPARENT HOUSEHOLDER BY GRANDPARENT RESPONSIBILITY AND PRESENCE OF PARENT
B10010    MEDIAN FAMILY INCOME FOR FAMILIES WITH GRANDPARENT HOUSEHOLDERS AND/OR SPOUSES LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND PRESENCE OF PARENT OF GRANDCHILD
B10050    GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN BY LENGTH OF TIME RESPONSIBLE FOR OWN GRANDCHILDREN FOR THE POPULATION 30 YEARS AND OVER
B10051    GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN BY PRESENCE OF PARENT OF GRANDCHILDREN AND AGE OF GRANDPARENT
B10051A   GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT (WHITE ALONE)
B10051B   GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT (BLACK OR AFRICAN AMERICAN ALONE)
B10051C   GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT (AMERICAN INDIAN AND ALASKA NATIVE ALONE)
B10051D   GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT (ASIAN ALONE)
B10051E   GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE)
B10051F   GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT (SOME OTHER RACE ALONE)
B10051G   GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT (TWO OR MORE RACES)
B10051H   GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT (WHITE ALONE, NOT HISPANIC OR LATINO)
B10051I   GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT (HISPANIC OR LATINO)
B10052    DISABILITY STATUS OF GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT
B10053    NATIVITY BY GRANDPARENTS RESPONSIBLE FOR OWN GRANDCHILDREN UNDER 18 YEARS BY AGE OF GRANDPARENT
B10054    LANGUAGE AND ABILITY TO SPEAK ENGLISH OF GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT
B10056    SEX OF GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT
B10057    MARITAL STATUS BY GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT
B10058    EMPLOYMENT STATUS OF GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT
B10059    POVERTY STATUS IN THE PAST 12 MONTHS OF GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT
B10060    UNITS IN STRUCTURE OF GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT
B10061    TENURE OF GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT
B10063    HOUSEHOLDS WITH GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND PRESENCE OF PARENT OF GRANDCHILDREN
B11001    HOUSEHOLD TYPE (INCLUDING LIVING ALONE)
B11001A   HOUSEHOLD TYPE (INCLUDING LIVING ALONE) (WHITE ALONE)
B11001B   HOUSEHOLD TYPE (INCLUDING LIVING ALONE) (BLACK OR AFRICAN AMERICAN ALONE)
B11001C   HOUSEHOLD TYPE (INCLUDING LIVING ALONE) (AMERICAN INDIAN AND ALASKA NATIVE ALONE)
B11001D   HOUSEHOLD TYPE (INCLUDING LIVING ALONE) (ASIAN ALONE)
B11001E   HOUSEHOLD TYPE (INCLUDING LIVING ALONE) (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE)
B11001F   HOUSEHOLD TYPE (INCLUDING LIVING ALONE) (SOME OTHER RACE ALONE)
B11001G   HOUSEHOLD TYPE (INCLUDING LIVING ALONE) (TWO OR MORE RACES)
B11001H   HOUSEHOLD TYPE (INCLUDING LIVING ALONE) (WHITE ALONE, NOT HISPANIC OR LATINO)
B11001I   HOUSEHOLD TYPE (INCLUDING LIVING ALONE) (HISPANIC OR LATINO)
B11002    HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS
B11002A   HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS (WHITE ALONE)
B11002B   HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS (BLACK OR AFRICAN AMERICAN ALONE)
B11002C   HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS (AMERICAN INDIAN AND ALASKA NATIVE ALONE)
B11002D   HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS (ASIAN ALONE)
B11002E   HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE)
B11002F   HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS (SOME OTHER RACE ALONE)
B11002G   HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS (TWO OR MORE RACES)
B11002H   HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS (WHITE ALONE, NOT HISPANIC OR LATINO)
C11001A   HOUSEHOLD TYPE (WHITE ALONE)
C11001B   HOUSEHOLD TYPE (BLACK OR AFRICAN AMERICAN ALONE)
C11001C   HOUSEHOLD TYPE (AMERICAN INDIAN AND ALASKA NATIVE ALONE)
C11001D   HOUSEHOLD TYPE (ASIAN ALONE)
C11001E   HOUSEHOLD TYPE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE)
C11001F   HOUSEHOLD TYPE (SOME OTHER RACE ALONE)
C11001G   HOUSEHOLD TYPE (TWO OR MORE RACES)
C11001H   HOUSEHOLD TYPE (WHITE ALONE, NOT HISPANIC OR LATINO)
C11001I   HOUSEHOLD TYPE (HISPANIC OR LATINO)
B11002I   HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS (HISPANIC OR LATINO)
B11003    FAMILY TYPE BY PRESENCE AND AGE OF OWN CHILDREN UNDER 18 YEARS
B11004    FAMILY TYPE BY PRESENCE AND AGE OF RELATED CHILDREN UNDER 18 YEARS
B11005    HOUSEHOLDS BY PRESENCE OF PEOPLE UNDER 18 YEARS BY HOUSEHOLD TYPE
B11006    HOUSEHOLDS BY PRESENCE OF PEOPLE 60 YEARS AND OVER BY HOUSEHOLD TYPE
B11007    HOUSEHOLDS BY PRESENCE OF PEOPLE 65 YEARS AND OVER, HOUSEHOLD SIZE AND HOUSEHOLD TYPE
B11009    UNMARRIED-PARTNER HOUSEHOLDS BY SEX OF PARTNER
B11010    NONFAMILY HOUSEHOLDS BY SEX OF HOUSEHOLDER BY LIVING ALONE BY AGE OF HOUSEHOLDER
B11011    HOUSEHOLD TYPE BY UNITS IN STRUCTURE
B11012    HOUSEHOLD TYPE BY TENURE
B11013    SUBFAMILY TYPE BY PRESENCE OF OWN CHILDREN UNDER 18 YEARS
B11014    POPULATION IN SUBFAMILIES BY SUBFAMILY TYPE BY RELATIONSHIP
B11015    HOUSEHOLDS BY PRESENCE OF NONRELATIVES
C11002A   HOUSEHOLD TYPE FOR POPULATION IN HOUSEHOLDS (WHITE ALONE)
C11002B   HOUSEHOLD TYPE FOR POPULATION IN HOUSEHOLDS (BLACK OR AFRICAN AMERICAN ALONE)
C11002C   HOUSEHOLD TYPE FOR POPULATION IN HOUSEHOLDS (AMERICAN INDIAN AND ALASKA NATIVE  ALONE)
C11002D   HOUSEHOLD TYPE FOR POPULATION IN HOUSEHOLDS (ASIAN ALONE)
C11002E   HOUSEHOLD TYPE FOR POPULATION IN HOUSEHOLDS (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE)
C11002F   HOUSEHOLD TYPE FOR POPULATION IN HOUSEHOLDS (SOME OTHER RACE ALONE)
C11002G   HOUSEHOLD TYPE FOR POPULATION IN HOUSEHOLDS (TWO OR MORE RACES)
C11002H   HOUSEHOLD TYPE FOR POPULATION IN HOUSEHOLDS (WHITE ALONE, NOT HISPANIC OR LATINO)
C11002I   HOUSEHOLD TYPE FOR POPULATION IN HOUSEHOLDS (HISPANIC OR LATINO)
C11005    HOUSEHOLDS BY PRESENCE OF PEOPLE UNDER 18 YEARS BY HOUSEHOLD TYPE
C11010    NONFAMILY HOUSEHOLDS BY SEX OF HOUSEHOLDER BY LIVING ALONE BY AGE OF HOUSEHOLDER
C11013    SUBFAMILY TYPE
C11014    POPULATION IN SUBFAMILIES BY SUBFAMILY TYPE
B11016    HOUSEHOLD TYPE BY HOUSEHOLD SIZE
B11017    MULTIGENERATIONAL HOUSEHOLDS
C11016    HOUSEHOLD TYPE BY HOUSEHOLD SIZE
